Fecha;Fondo;Ticker;Accion;Porcentaje;Modif_porc;Peso_absoluto;Precio;Banco;CNMV
01-09-2024;BOLSAEUROPA;NOVO-B.CO;NOVO DKK 3.178 1,93 3.154 1,98;3.83;0.017241379310344803;0.0660344827586206;938.1;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;KYL.F;KERRY GROUP PLC EUR 3.863 1,18 -- --;3.31;-0.012345679012345689;-0.04086419753086423;0.8;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;AZN.L;ASTRAZENECA GBP 2.089 1,15 3.828 2,74;2.7;0.0;0.0;13274.0;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;SHELL.AS;SHELL PLC EUR 1.540 1,66 -- --;2.57;-0.012913143735588063;-0.033186779400461316;32.105;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;ASML.AS;ASM LITHOGRAPHY HOLD EUR 3.164 1,74 2.205 1,58;2.53;-0.013365735115431349;-0.033815309842041306;812.0;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;SAN.PA;SANOFI SA EUR 3.137 1,72 3.416 2,44;2.45;-0.002365930599369035;-0.005796529968454136;101.2;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;FP.VI;TOTAL ENERGIES EUR;2.34;-0.00382653061224493;-0.008954081632653136;62.48;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;NESN.SW;NESTLE CHF 4.435 2,44 3.642 2,60;2.32;-0.0008781558726673798;-0.002037321624588321;91.02;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;HNK1.F;HEINEKEN;2.26;-0.00024390243902434173;-0.0005512195121950122;81.98;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;NG.L;National Grid PLC Nuevo Capital GBP;2.24;0.0070592981040742235;0.01581282775312626;998.6;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;MC.PA;LOUIS VUITTON EUR 2.329 1,41 2.095 1,31;1.97;-0.004576321228225602;-0.009015352819604435;674.3;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;HLN.L;HALEON PLC GBP 556 0,70 -- --;1.96;0.010047593865679565;0.019693283976731948;382.0;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;OR.PA;LOREAL EUR 3.507 2,13 1.782 1,12;1.96;-0.004892736168611187;-0.009589762890477926;396.6;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;ORSTED.CO;ORSTED A DKK 3.581 2,17 -- --;1.96;-0.001023017902813241;-0.0020051150895139523;390.6;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;CFT.SW;CIE FINANCIERE RIC CHF 1.120 1,41 1.164 1,12;1.94;-0.009966777408637873;-0.019335548172757473;149.0;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;CK0.SG;COCA COLA EUROPAC EUR 1.445 1,81 -- --;1.94;0.016949152542372923;0.03288135593220347;72.0;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;IBE.MC;IBERDROLA EUR 2.469 1,50 1.694 1,06;1.94;0.006279434850863428;0.01218210361067505;12.82;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;NOVN.SW;NOVARTIS CHF 2.211 2,12 2.030 2,15;1.94;0.0019623233908948475;0.003806907378336004;102.12;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;OCI.AS;OCI NV EUR 879 0,84 -- --;1.94;0.01670220326936741;0.03240227434257277;28.61;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;REP.MC;REPSOL SA EUR 2.108 2,27 -- --;1.94;0.0016083634901487393;0.003120225170888554;12.455;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;RKT.L;RECKITT BENCKISER GBP 4.558 2,50 -- --;1.94;0.006222631942843973;0.012071905969117308;4366.0;IBERCAJA;NOSE
